"ID","NAMES","ouvrier_AsTheCrowFlies_ACC_0.01"
"78234","Flacourt",8786.79721300209
"78236","Flexanville",11553.5861519077
"78237","Flins-Neuve-Eglise",13526.8525245304
"78238","Flins-sur-Seine",5708.21856861261
"78239","Follainville-Dennemont",5359.99831546901
"78242","Fontenay-le-Fleury",5022.41598125252
"78245","Fontenay-Mauvoisin",6790.9021851784
"78246","Fontenay-Saint-Pere",6408.83313688951
"78251","Fourqueux",5822.46369315357
"78255","Freneuse",9769.73103592588
"78261","Gaillon-sur-Montcient",6732.69771702041
"78262","Galluis",11350.2087506224
"78263","Gambais",15540.3971702956
"78264","Gambaiseuil",14290.6002635279
"78265","Garancieres",12163.01923642
"78267","Gargenville",6011.76593038368
"78269","Gazeran",16182.3537421475
"78276","Gommecourt",11889.1154967991
"78278","Goupillieres",10266.6678973353
"78281","Goussonville",7830.68005324468
"78283","Grandchamp",19571.4751294575
"78285","Gressey",15823.4747266636
"78289","Grosrouvre",12771.4944768656
"78290","Guernes",6540.67952630607
"78291","Guerville",5827.97814103078
"78296","Guitrancourt",5888.07720338629
"78297","Guyancourt",5154.37393572925
"78299","Hardricourt",5961.79964793231
"78300","Hargeville",9622.69656840503
"78302","La Hauteville",19551.9404237377
"78305","Herbeville",8252.48906205365
"78307","Hermeray",18804.1521752593
"78310","Houdan",17546.9776812495
"78311","Houilles",2032.94059507729
"78314","Issou",5668.75698829005
"78317","Jambville",8248.39906947228
"78320","Jeufosse",12906.6623661107
"78321","Jouars-Pontchartrain",5977.20934069641
"78322","Jouy-en-Josas",5462.92103668145
"78324","Jouy-Mauvoisin",6219.44258473978
"78325","Jumeauville",8817.74445723935
"78327","Juziers",6116.08811255541
