"ID","NAMES","intermediaires_AsTheCowRolls_POT_10"
"78146","Chatou",94482.20899935
"78147","Chaufour-les-Bonnieres",3030.91987784
"78152","Chavenay",18195.67224123
"78158","Le Chesnay",67834.20616707
"78160","Chevreuse",8177.88635679
"78162","Choisel",6053.1515291
"78163","Civry-la-Foret",1573.21124032
"78164","Clairefontaine-en-Yvelines",5414.99802128
"78165","Les Clayes-sous-Bois",24865.16274206
"78168","Coignieres",17022.32188274
"78171","Conde-sur-Vesgre",1440.00409781
"78172","Conflans-Sainte-Honorine",42317.99865329
"78185","Courgent",4243.00746296
"78188","Cravent",944.24406834
"78189","Crespieres",8923.60003447
"78190","Croissy-sur-Seine",66586.53319964
"78192","Dammartin-en-Serve",2447.66212012
"78193","Dampierre-en-Yvelines",8447.73010978
"78194","Dannemarie",1214.91166728
"78196","Davron",9666.16817015
"78202","Drocourt",8116.79509568
"78206","Ecquevilly",15746.6691686
"78208","Elancourt",23126.26686974
"78209","Emance",868.47500729
"78217","Epone",17799.32688211
"78220","Les Essarts-le-Roi",13330.6447368
"78224","L'Etang-la-Ville",34137.15156439
"78227","Evecquemont",22264.1197892
"78230","La Falaise",13932.43389906
"78231","Favrieux",9311.09322192
"78233","Feucherolles",17715.41377493
"78234","Flacourt",4414.44369615
"78236","Flexanville",2360.54225222
"78237","Flins-Neuve-Eglise",1445.77980906
"78238","Flins-sur-Seine",20109.83979534
"78239","Follainville-Dennemont",8264.07419411
"78242","Fontenay-le-Fleury",39408.61517579
"78245","Fontenay-Mauvoisin",9231.97863032
"78246","Fontenay-Saint-Pere",9323.91989512
"78251","Fourqueux",33065.47124143
"78255","Freneuse",3781.50053076
"78261","Gaillon-sur-Montcient",14226.95245452
"78262","Galluis",6487.7974141
"78263","Gambais",2304.16354168
"78264","Gambaiseuil",1794.8577561
"78265","Garancieres",2923.16797839
"78267","Gargenville",16712.34980718
"78269","Gazeran",3800.91007774
"78276","Gommecourt",1003.47766827
"78278","Goupillieres",2461.12989102
"78281","Goussonville",4124.84296717
"78283","Grandchamp",580.06902129
"78285","Gressey",1362.79001352
"78289","Grosrouvre",2157.4655441
"78290","Guernes",2818.0759957
"78291","Guerville",8117.94246676
"78296","Guitrancourt",11355.41576989
"78297","Guyancourt",36054.53860204
"78299","Hardricourt",18554.65950142
"78300","Hargeville",2819.04338297
"78302","La Hauteville",533.31439007
"78305","Herbeville",4717.44134596
"78307","Hermeray",863.32210439
"78310","Houdan",2012.00999309
"78311","Houilles",102031.07938273
"78314","Issou",17589.03672511
"78317","Jambville",4503.13635779
