"ID","NAMES","artisans_AsTheCowRolls_POT_10"
"78289","Grosrouvre",566.08241976
"78290","Guernes",424.0410017
"78291","Guerville",1172.30817398
"78296","Guitrancourt",1602.09083784
"78297","Guyancourt",4420.27225164
"78299","Hardricourt",2801.25202773
"78300","Hargeville",542.15055314
"78302","La Hauteville",202.67958664
"78305","Herbeville",1004.220252
"78307","Hermeray",203.92674348
"78310","Houdan",528.29327307
"78311","Houilles",18931.99110008
"78314","Issou",2547.85892075
"78317","Jambville",752.28193869
"78320","Jeufosse",806.62272629
"78321","Jouars-Pontchartrain",2540.43897913
"78322","Jouy-en-Josas",7801.64096278
"78324","Jouy-Mauvoisin",1468.80962376
"78325","Jumeauville",626.72328491
"78327","Juziers",2304.56996972
"78329","Lainville-en-Vexin",628.78490906
"78334","Levis-Saint-Nom",1026.47360508
"78335","Limay",2161.26191022
"78337","Limetz-Villez",267.38422893
"78343","Les Loges-en-Josas",4870.42994222
"78344","Lommoye",160.50628706
"78346","Longnes",608.37408749
"78349","Longvilliers",1070.7187177
"78350","Louveciennes",13352.82290885
"78354","Magnanville",2149.44438988
"78356","Magny-les-Hameaux",1728.47047879
"78358","Maisons-Laffitte",8784.08262586
"78361","Mantes-la-Jolie",2492.30437355
"78362","Mantes-la-Ville",2395.19136825
"78364","Marcq",837.86398309
"78366","Mareil-le-Guyon",1516.12854194
"78367","Mareil-Marly",6561.01822916
"78368","Mareil-sur-Mauldre",1448.70249672
"78372","Marly-le-Roi",10810.99417356
"78380","Maule",1481.33320815
"78381","Maulette",661.77311339
"78382","Maurecourt",4761.64188705
"78383","Maurepas",2693.15255452
"78384","Medan",3341.81194358
"78385","Menerville",754.16486451
"78389","Mere",1045.96696538
"78391","Mericourt",530.2074568
"78396","Le Mesnil-le-Roi",8309.7985922
"78397","Le Mesnil-Saint-Denis",1833.52439273
"78398","Les Mesnuls",1279.67003021
"78401","Meulan-en-Yvelines",3115.59679124
"78402","Mezieres-sur-Seine",2532.76001168
"78403","Mezy-sur-Seine",2129.19641939
"78404","Millemont",763.21234491
"78406","Milon-la-Chapelle",1596.21562354
"78407","Mittainville",207.67305527
"78410","Moisson",162.49561117
"78413","Mondreville",319.26427814
"78415","Montainville",834.67055591
"78416","Montalet-le-Bois",920.78665229
"78417","Montchauvet",450.00347794
"78418","Montesson",15024.06507379
"78420","Montfort-l'Amaury",1086.69385835
"78423","Montigny-le-Bretonneux",4577.33235713
"78431","Morainvilliers",2341.5503124
"78437","Mousseaux-sur-Seine",271.3792988
"78439","Mulcent",589.85335459
"78440","Les Mureaux",3335.79629695
"78442","Neauphle-le-Chateau",2136.26669753
"78443","Neauphle-le-Vieux",1615.81960808
"78444","Neauphlette",208.75382558
"78451","Nezel",2405.50679122
"78455","Noisy-le-Roi",6672.66961186
"78460","Oinville-sur-Montcient",1600.52450733
