"ID","NAMES","employe_AsTheCrowFlies_POT_7500"
"78117","Buc",48148.87799379
"78118","Buchelay",16154.95121578
"78120","Bullion",3343.21164806
"78123","Carrieres-sous-Poissy",37394.50150878
"78124","Carrieres-sur-Seine",149205.40026827
"78125","La Celle-les-Bordes",3816.96289946
"78126","La Celle-Saint-Cloud",88378.53087345
"78128","Cernay-la-Ville",5322.04939289
"78133","Chambourcy",31452.43861845
"78138","Chanteloup-les-Vignes",45804.78939919
"78140","Chapet",25108.83754962
"78143","Chateaufort",30102.56874581
"78146","Chatou",119250.37151618
"78147","Chaufour-les-Bonnieres",1987.14732562
"78152","Chavenay",28081.06468549
"78158","Le Chesnay",76781.71014197
"78160","Chevreuse",15804.37813931
"78162","Choisel",6751.04647569
"78163","Civry-la-Foret",2154.2558055
"78164","Clairefontaine-en-Yvelines",4061.16274483
"78165","Les Clayes-sous-Bois",36193.76537749
"78168","Coignieres",20537.67172519
"78171","Conde-sur-Vesgre",1354.7225879
"78172","Conflans-Sainte-Honorine",61015.21201813
"78185","Courgent",4116.15392494
"78188","Cravent",1823.85760041
"78189","Crespieres",12486.92067216
"78190","Croissy-sur-Seine",96072.23060503
"78192","Dammartin-en-Serve",4060.37568219
"78193","Dampierre-en-Yvelines",12853.58607523
"78194","Dannemarie",1473.88759717
"78196","Davron",18391.89326146
"78202","Drocourt",8783.26435559
"78206","Ecquevilly",19466.40760549
"78208","Elancourt",33935.39272099
"78209","Emance",1448.3236958
"78217","Epone",14377.40357448
"78220","Les Essarts-le-Roi",11287.37672755
"78224","L'Etang-la-Ville",43272.22388631
"78227","Evecquemont",25723.71947252
"78230","La Falaise",12683.92762565
"78231","Favrieux",10270.21244459
"78233","Feucherolles",20628.47224793
"78234","Flacourt",8371.75604114
"78236","Flexanville",3470.16267088
"78237","Flins-Neuve-Eglise",1851.00576868
"78238","Flins-sur-Seine",17523.07890068
"78239","Follainville-Dennemont",15335.55441779
"78242","Fontenay-le-Fleury",46761.4796074
"78245","Fontenay-Mauvoisin",12937.85189626
"78246","Fontenay-Saint-Pere",14269.98964992
"78251","Fourqueux",39847.12604443
"78255","Freneuse",6663.82571352
"78261","Gaillon-sur-Montcient",15907.50244873
"78262","Galluis",4655.28785389
"78263","Gambais",2265.66917077
"78264","Gambaiseuil",2181.32011278
"78265","Garancieres",3501.24814745
"78267","Gargenville",17378.39830988
"78269","Gazeran",4272.52742971
"78276","Gommecourt",3760.67793769
"78278","Goupillieres",4927.20172795
"78281","Goussonville",10845.63483984
"78283","Grandchamp",833.78851452
"78285","Gressey",1940.58257403
"78289","Grosrouvre",2987.33657746
"78290","Guernes",13228.12354104
"78291","Guerville",16213.62093861
"78296","Guitrancourt",16864.60392933
"78297","Guyancourt",42631.40875604
"78299","Hardricourt",17351.14814445
"78300","Hargeville",5943.63772666
"78302","La Hauteville",722.64801544
"78305","Herbeville",10239.51203189
"78307","Hermeray",1339.54264511
"78310","Houdan",1674.4035246
"78311","Houilles",154106.63272723
"78314","Issou",18089.32516006
"78317","Jambville",8727.4486334
"78320","Jeufosse",3569.56662068
"78321","Jouars-Pontchartrain",24222.70508474
"78322","Jouy-en-Josas",59515.78809146
"78324","Jouy-Mauvoisin",13982.48277508
"78325","Jumeauville",7871.26814723
"78327","Juziers",16564.76818192
"78329","Lainville-en-Vexin",5781.6962726
"78334","Levis-Saint-Nom",17568.56318059
"78335","Limay",18121.28864448
"78337","Limetz-Villez",3145.28152565
"78343","Les Loges-en-Josas",47735.89997486
"78344","Lommoye",3008.02256513
"78346","Longnes",3133.27866854
"78349","Longvilliers",4029.14620924
"78350","Louveciennes",72802.44227279
"78354","Magnanville",16023.41226367
"78356","Magny-les-Hameaux",29893.78406703
"78358","Maisons-Laffitte",100829.51341219
"78361","Mantes-la-Jolie",16828.21098021
"78362","Mantes-la-Ville",17436.17310635
"78364","Marcq",5867.33241977
"78366","Mareil-le-Guyon",12534.47541077
"78367","Mareil-Marly",49924.81582281
"78368","Mareil-sur-Mauldre",8443.55546008
"78372","Marly-le-Roi",58180.89323355
"78380","Maule",8565.11936084
"78381","Maulette",1791.81050357
"78382","Maurecourt",52323.02559537
"78383","Maurepas",26077.97857499
"78384","Medan",31379.57126263
"78385","Menerville",7274.79896488
"78389","Mere",7459.80941773
"78391","Mericourt",9250.80335303
"78396","Le Mesnil-le-Roi",82901.07493526
"78397","Le Mesnil-Saint-Denis",25553.05952546
"78398","Les Mesnuls",8425.35788215
"78401","Meulan-en-Yvelines",20879.05591052
"78402","Mezieres-sur-Seine",15954.47718929
"78403","Mezy-sur-Seine",16904.69869506
"78404","Millemont",2911.89834052
