"ID","NAMES","cadres_AsTheCrowFlies_ACC_0.005"
"78262","Galluis",8309.10139947597
"78263","Gambais",12492.0409178757
"78264","Gambaiseuil",10706.634190805
"78265","Garancieres",9369.20793478982
"78267","Gargenville",7256.04272043841
"78269","Gazeran",11527.3937838282
"78276","Gommecourt",15213.8524043158
"78278","Goupillieres",8939.58492149596
"78281","Goussonville",8190.84063138833
"78283","Grandchamp",15716.7592259295
"78285","Gressey",14404.0509312474
"78289","Grosrouvre",9523.89367898446
"78290","Guernes",10524.3785383458
"78291","Guerville",7744.79994612442
"78296","Guitrancourt",7717.00468603133
"78297","Guyancourt",2521.22460680081
"78299","Hardricourt",6214.33342434861
"78300","Hargeville",9111.10264839706
"78302","La Hauteville",15449.0983025937
"78305","Herbeville",6502.30568748784
"78307","Hermeray",14161.4663627167
"78310","Houdan",15317.7359606313
"78311","Houilles",687.261592763252
"78314","Issou",7253.81641312823
"78317","Jambville",8459.69700075694
"78320","Jeufosse",16384.7162324805
"78321","Jouars-Pontchartrain",4006.23640703129
"78322","Jouy-en-Josas",2931.45736501449
"78324","Jouy-Mauvoisin",9752.73076933865
"78325","Jumeauville",8319.58158385747
"78327","Juziers",7039.94954854928
"78329","Lainville-en-Vexin",9636.3778101345
"78334","Levis-Saint-Nom",5391.25896648687
"78335","Limay",7634.27116737454
"78337","Limetz-Villez",16655.1109989611
